player,upload_date,video_id,url,avg_angry,avg_disgust,avg_fear,avg_happy,avg_sad,avg_surprise,avg_neutral,dominant_emotion,frames_analyzed,historical_gmsc_avg,next_game_gmsc
Andrew Wiggins,2022-06-09 000000,dAGSItRYzgE,https://www.youtube.com/watch?v=dAGSItRYzgE,49.2806,0.0724,5.3407,7.4073,18.8484,1.046,18.0046,angry,50,12.08,13.1
Andrew Wiggins,2022-06-03 000000,31WvwUpqiZk,https://www.youtube.com/watch?v=31WvwUpqiZk,13.8513,0.0349,26.8909,0.9492,22.2419,2.4954,33.5365,neutral,50,12.16,5.4
Andrew Wiggins,2022-05-27 000000,iNtL5JqP-wo,https://www.youtube.com/watch?v=iNtL5JqP-wo,23.2309,0.0438,4.2998,2.6665,47.2499,0.177,22.3321,sad,50,12.12,15.5
Andrew Wiggins,2022-05-23 000000,0EB-wE-uFso,https://www.youtube.com/watch?v=0EB-wE-uFso,12.2471,0.0576,15.3392,3.2421,31.9996,0.5479,36.5664,neutral,50,12.12,9.5
Andrew Wiggins,2022-05-10 000000,jEvyYpygmo4,https://www.youtube.com/watch?v=jEvyYpygmo4,4.5657,0.0031,53.4839,0.6889,17.4572,14.0422,9.759,fear,50,12.09,0.4
Andrew Wiggins,2022-05-04 000000,Rxi-DvuBGHo,https://www.youtube.com/watch?v=Rxi-DvuBGHo,4.4163,2.2253,46.2752,1.2164,10.4668,13.4644,21.9356,fear,50,12.0,15.5
Andrew Wiggins,2022-03-24 000000,QJd2iC1svCs,https://www.youtube.com/watch?v=QJd2iC1svCs,28.6517,0.002,10.7555,45.345,3.0089,0.7938,11.4432,happy,49,12.25,6.1
Andrew Wiggins,2022-02-10 000000,zHFT7HuPslQ,https://www.youtube.com/watch?v=zHFT7HuPslQ,10.3453,0.0002,6.7467,12.9311,52.6862,2.8424,14.4482,sad,50,12.83,15.3
Andrew Wiggins,2022-01-30 000000,tjkhK2pKTZs,https://www.youtube.com/watch?v=tjkhK2pKTZs,34.5787,0.0204,1.6064,3.1006,38.7789,1.1886,20.7265,sad,50,12.97,21.6
Andrew Wiggins,2022-01-24 000000,ex_HsPHOZu0,https://www.youtube.com/watch?v=ex_HsPHOZu0,19.9408,0.005,28.2293,1.7293,30.8005,5.1161,14.179,sad,50,12.66,10.5
Andrew Wiggins,2022-01-04 000000,divtVvfadI4,https://www.youtube.com/watch?v=divtVvfadI4,23.9293,0.0082,2.8047,3.3812,31.6808,17.3287,20.8672,sad,50,13.45,14.9
Andrew Wiggins,2022-01-02 000000,C_Pkz19wdkc,https://www.youtube.com/watch?v=C_Pkz19wdkc,26.8506,0.0001,2.003,2.1459,38.0694,0.0031,30.9279,sad,50,13.26,19.3
Andrew Wiggins,2021-12-15 000000,eaz2GKQMKlI,https://www.youtube.com/watch?v=eaz2GKQMKlI,24.5891,0.0287,12.1787,36.2372,6.8142,2.4458,17.7062,happy,50,12.86,21.9
Andrew Wiggins,2021-12-07 000000,8I_eMO2DFvc,https://www.youtube.com/watch?v=8I_eMO2DFvc,27.4741,0.0047,5.1402,1.2702,37.8325,3.774,24.5043,sad,50,12.91,12.5
Andrew Wiggins,2021-12-04 000000,nNAHhCxKx_Y,https://www.youtube.com/watch?v=nNAHhCxKx_Y,25.4073,0.0786,5.5454,4.2064,31.6895,1.4576,31.6152,sad,50,12.75,7.9
Andrew Wiggins,2021-11-25 000000,FnLH0k3t77M,https://www.youtube.com/watch?v=FnLH0k3t77M,15.0408,0.004,9.1109,2.8184,50.7284,3.3745,18.923,sad,50,13.12,20.3
Andrew Wiggins,2021-11-20 000000,iDaBnmF85tg,https://www.youtube.com/watch?v=iDaBnmF85tg,9.5641,0.0122,22.251,16.0199,11.0986,6.9043,34.1499,neutral,50,12.26,25.8
Andrew Wiggins,2021-11-11 000000,YLcGTQFxD0I,https://www.youtube.com/watch?v=YLcGTQFxD0I,11.1068,0.1723,11.5043,2.9845,39.3884,0.6126,34.231,sad,50,11.76,11.7
Andrew Wiggins,2021-10-22 000000,gt0dnkiN4ok,https://www.youtube.com/watch?v=gt0dnkiN4ok,19.5942,0.0139,11.3681,0.3543,49.7473,0.0014,18.9207,sad,11,10.65,11.5
LeBron James,2021-12-30 000000,#NAME?,https://www.youtube.com/watch?v=-Nlt6MDpImY,22.682,0.0056,9.1389,4.5393,20.9328,0.8679,41.8334,neutral,50,22.82,40.8
LeBron James,2021-12-29 000000,7qCXBVTIkE8,https://www.youtube.com/watch?v=7qCXBVTIkE8,20.1767,0.2433,25.3036,1.7874,25.2833,2.0046,25.2011,fear,50,22.41,32.3
LeBron James,2021-12-26 000000,xt1vwNJYp_s,https://www.youtube.com/watch?v=xt1vwNJYp_s,24.7043,0.731,12.5686,3.4827,47.6897,3.4201,7.4037,sad,50,21.94,32.8
LeBron James,2021-12-24 000000,mlJpWk5zAD8,https://www.youtube.com/watch?v=mlJpWk5zAD8,12.5529,0.0313,16.3874,2.7048,50.4324,3.0609,14.8303,sad,50,21.34,34.6
LeBron James,2021-12-22 000000,_SxWeK5ZreY,https://www.youtube.com/watch?v=_SxWeK5ZreY,11.5539,0.1535,8.039,22.9492,31.2846,0.8971,25.1227,sad,50,20.94,29.3
LeBron James,2021-12-18 000000,DPVSJ5u5QnE,https://www.youtube.com/watch?v=DPVSJ5u5QnE,19.577,0.0094,7.7308,34.9089,8.7607,3.4307,25.5825,happy,50,20.28,24.7
LeBron James,2021-12-13 000000,tEyaGYlqloE,https://www.youtube.com/watch?v=tEyaGYlqloE,12.3495,0.0417,11.6885,11.9987,50.8688,5.2002,7.8526,sad,50,20.92,16.9
LeBron James,2021-12-10 000000,FYsM8dBFo0Y,https://www.youtube.com/watch?v=FYsM8dBFo0Y,16.1729,0.0011,18.3061,32.2079,2.5296,18.1751,12.6073,happy,50,19.81,31.1
LeBron James,2021-12-04 000000,ymu8a5iAL28,https://www.youtube.com/watch?v=ymu8a5iAL28,5.2889,0.0444,32.0771,0.0128,40.7458,1.1588,20.6722,sad,50,19.22,23.6
LeBron James,2021-11-27 000000,fyICYTeOaHA,https://www.youtube.com/watch?v=fyICYTeOaHA,1.0229,0.0009,3.334,5.0638,77.7526,0.0018,12.8241,sad,50,18.34,30.7
LeBron James,2021-10-30 000000,qtXwqclCLEg,https://www.youtube.com/watch?v=qtXwqclCLEg,8.4431,0.0847,6.8334,9.5872,27.724,1.8865,45.4411,neutral,50,17.95,14.5
LeBron James,2021-10-25 000000,JrRFW29aP2U,https://www.youtube.com/watch?v=JrRFW29aP2U,6.4317,0.0075,46.7802,5.8306,35.6288,0.0089,5.3122,fear,50,18.0,17.8
